"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"4/1/2023 12 a.m. MDT",4404,4408,4875,471
PSCO,"4/1/2023 1 a.m. MDT",4264,4077,4626,362
PSCO,"4/1/2023 2 a.m. MDT",4200,3950,4476,276
PSCO,"4/1/2023 3 a.m. MDT",4139,3938,4451,312
PSCO,"4/1/2023 4 a.m. MDT",4132,3978,4312,180
PSCO,"4/1/2023 5 a.m. MDT",4184,4068,4238,54
PSCO,"4/1/2023 6 a.m. MDT",4322,4254,4200,-122
PSCO,"4/1/2023 7 a.m. MDT",4442,4401,4526,84
PSCO,"4/1/2023 8 a.m. MDT",4502,4443,4817,315
PSCO,"4/1/2023 9 a.m. MDT",4390,4409,4691,301
PSCO,"4/1/2023 10 a.m. MDT",4260,4172,4616,356
PSCO,"4/1/2023 11 a.m. MDT",4083,4014,4477,394
PSCO,"4/1/2023 12 p.m. MDT",3931,3888,4232,301
PSCO,"4/1/2023 1 p.m. MDT",3837,3738,3745,-92
PSCO,"4/1/2023 2 p.m. MDT",3771,3679,3653,-118
PSCO,"4/1/2023 3 p.m. MDT",3743,3715,3837,94
PSCO,"4/1/2023 4 p.m. MDT",3820,3814,3992,172
PSCO,"4/1/2023 5 p.m. MDT",3970,3925,4249,279
PSCO,"4/1/2023 6 p.m. MDT",4223,4148,4518,295
PSCO,"4/1/2023 7 p.m. MDT",4465,4374,4821,356
PSCO,"4/1/2023 8 p.m. MDT",4626,4499,4924,298
PSCO,"4/1/2023 9 p.m. MDT",4661,4554,4638,-23
PSCO,"4/1/2023 10 p.m. MDT",4471,4387,4448,-23
PSCO,"4/1/2023 11 p.m. MDT",4277,4195,4396,119
PSCO,"4/2/2023 12 a.m. MDT",4130,4052,4382,252
PSCO,"4/2/2023 1 a.m. MDT",3980,4080,4534,554
PSCO,"4/2/2023 2 a.m. MDT",3890,3982,4667,777
PSCO,"4/2/2023 3 a.m. MDT",3854,3919,4634,780
PSCO,"4/2/2023 4 a.m. MDT",3798,3909,4510,712
PSCO,"4/2/2023 5 a.m. MDT",3879,3952,4429,550
PSCO,"4/2/2023 6 a.m. MDT",3962,4055,4309,347
PSCO,"4/2/2023 7 a.m. MDT",4052,4254,4434,382
PSCO,"4/2/2023 8 a.m. MDT",4071,4310,4241,170
PSCO,"4/2/2023 9 a.m. MDT",3976,4207,4081,105
PSCO,"4/2/2023 10 a.m. MDT",3898,4051,3968,70
PSCO,"4/2/2023 11 a.m. MDT",3785,3960,3797,12
PSCO,"4/2/2023 12 p.m. MDT",3745,3859,3666,-79
PSCO,"4/2/2023 1 p.m. MDT",3719,3831,3785,66
PSCO,"4/2/2023 2 p.m. MDT",3693,3822,3881,188
PSCO,"4/2/2023 3 p.m. MDT",3718,3791,3894,176
PSCO,"4/2/2023 4 p.m. MDT",3821,3917,4133,312
PSCO,"4/2/2023 5 p.m. MDT",4043,4099,4251,208
PSCO,"4/2/2023 6 p.m. MDT",4311,4344,4408,97
PSCO,"4/2/2023 7 p.m. MDT",4559,4627,4758,199
PSCO,"4/2/2023 8 p.m. MDT",4722,4823,4889,167
PSCO,"4/2/2023 9 p.m. MDT",4740,4814,5129,389
PSCO,"4/2/2023 10 p.m. MDT",4493,4662,4932,439
PSCO,"4/2/2023 11 p.m. MDT",4185,4371,4686,501
PSCO,"4/3/2023 12 a.m. MDT",3943,4087,4363,420
PSCO,"4/3/2023 1 a.m. MDT",3829,3928,4319,490
PSCO,"4/3/2023 2 a.m. MDT",3768,3959,4499,731
PSCO,"4/3/2023 3 a.m. MDT",3709,3791,4150,441
PSCO,"4/3/2023 4 a.m. MDT",3697,3773,4063,366
PSCO,"4/3/2023 5 a.m. MDT",3883,4046,4116,233
PSCO,"4/3/2023 6 a.m. MDT",4207,4411,4387,180
PSCO,"4/3/2023 7 a.m. MDT",4583,4765,4792,209
PSCO,"4/3/2023 8 a.m. MDT",4720,4921,4979,259
PSCO,"4/3/2023 9 a.m. MDT",4654,4736,5086,432
PSCO,"4/3/2023 10 a.m. MDT",4481,4433,5012,531
PSCO,"4/3/2023 11 a.m. MDT",4386,4311,5163,777
PSCO,"4/3/2023 12 p.m. MDT",4304,4210,5216,912
PSCO,"4/3/2023 1 p.m. MDT",4275,4121,5046,771
PSCO,"4/3/2023 2 p.m. MDT",4208,4040,4964,756
PSCO,"4/3/2023 3 p.m. MDT",4214,4013,4965,751
PSCO,"4/3/2023 4 p.m. MDT",4302,4108,5115,813
PSCO,"4/3/2023 5 p.m. MDT",4377,4235,5078,701
PSCO,"4/3/2023 6 p.m. MDT",4597,4394,5129,532
PSCO,"4/3/2023 7 p.m. MDT",4745,4506,4932,187
PSCO,"4/3/2023 8 p.m. MDT",4946,4673,5380,434
PSCO,"4/3/2023 9 p.m. MDT",4920,4863,5380,460
PSCO,"4/3/2023 10 p.m. MDT",4728,4703,5273,545
PSCO,"4/3/2023 11 p.m. MDT",4440,4447,5149,709
PSCO,"4/4/2023 12 a.m. MDT",4206,4220,4988,782
PSCO,"4/4/2023 1 a.m. MDT",4064,4243,4826,762
PSCO,"4/4/2023 2 a.m. MDT",4026,4041,4742,716
PSCO,"4/4/2023 3 a.m. MDT",4018,4137,4543,525
PSCO,"4/4/2023 4 a.m. MDT",4086,4069,4399,313
PSCO,"4/4/2023 5 a.m. MDT",4197,4193,4587,390
PSCO,"4/4/2023 6 a.m. MDT",4444,4491,4971,527
PSCO,"4/4/2023 7 a.m. MDT",4910,4936,5446,536
PSCO,"4/4/2023 8 a.m. MDT",5202,5101,5501,299
