"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"8/1/2022 12 a.m. MDT",5109,5617,4852,-257
PSCO,"8/1/2022 1 a.m. MDT",4738,5420,4552,-186
PSCO,"8/1/2022 2 a.m. MDT",4620,5117,4304,-316
PSCO,"8/1/2022 3 a.m. MDT",4431,4913,4195,-236
PSCO,"8/1/2022 4 a.m. MDT",4343,4782,4131,-212
PSCO,"8/1/2022 5 a.m. MDT",4383,4765,4150,-233
PSCO,"8/1/2022 6 a.m. MDT",4500,4925,4377,-123
PSCO,"8/1/2022 7 a.m. MDT",4748,5119,4557,-191
PSCO,"8/1/2022 8 a.m. MDT",4865,5412,4683,-182
PSCO,"8/1/2022 9 a.m. MDT",5157,5720,4964,-193
PSCO,"8/1/2022 10 a.m. MDT",5480,6130,5191,-289
PSCO,"8/1/2022 11 a.m. MDT",5897,6576,5631,-266
PSCO,"8/1/2022 12 p.m. MDT",6274,7059,6135,-139
PSCO,"8/1/2022 1 p.m. MDT",6716,7559,6729,13
PSCO,"8/1/2022 2 p.m. MDT",7245,8018,7237,-8
PSCO,"8/1/2022 3 p.m. MDT",7619,8344,7470,-149
PSCO,"8/1/2022 4 p.m. MDT",8000,8677,7783,-217
PSCO,"8/1/2022 5 p.m. MDT",8010,8972,7965,-45
PSCO,"8/1/2022 6 p.m. MDT",7923,9067,7879,-44
PSCO,"8/1/2022 7 p.m. MDT",7606,8902,7596,-10
PSCO,"8/1/2022 8 p.m. MDT",7316,8599,7324,8
PSCO,"8/1/2022 9 p.m. MDT",7139,8247,6940,-199
PSCO,"8/1/2022 10 p.m. MDT",6714,7778,6413,-301
PSCO,"8/1/2022 11 p.m. MDT",6088,7033,5831,-257
PSCO,"8/2/2022 12 a.m. MDT",5408,6339,5188,-220
PSCO,"8/2/2022 1 a.m. MDT",5080,5113,4791,-289
PSCO,"8/2/2022 2 a.m. MDT",4807,4886,4683,-124
PSCO,"8/2/2022 3 a.m. MDT",4579,4629,4401,-178
PSCO,"8/2/2022 4 a.m. MDT",4428,4475,4334,-94
PSCO,"8/2/2022 5 a.m. MDT",4437,4465,4361,-76
PSCO,"8/2/2022 6 a.m. MDT",4641,4565,4607,-34
PSCO,"8/2/2022 7 a.m. MDT",4727,4748,4941,214
PSCO,"8/2/2022 8 a.m. MDT",5085,4989,5227,142
PSCO,"8/2/2022 9 a.m. MDT",5537,5250,5647,110
PSCO,"8/2/2022 10 a.m. MDT",5883,5686,6015,132
PSCO,"8/2/2022 11 a.m. MDT",6183,6115,6295,112
PSCO,"8/2/2022 12 p.m. MDT",6664,6656,6733,69
PSCO,"8/2/2022 1 p.m. MDT",7099,7128,7228,129
PSCO,"8/2/2022 2 p.m. MDT",7389,7545,7455,66
PSCO,"8/2/2022 3 p.m. MDT",7714,7739,7614,-100
PSCO,"8/2/2022 4 p.m. MDT",7913,7927,7708,-205
PSCO,"8/2/2022 5 p.m. MDT",8084,7985,7925,-159
PSCO,"8/2/2022 6 p.m. MDT",7941,7887,7796,-145
PSCO,"8/2/2022 7 p.m. MDT",7745,7648,7511,-234
PSCO,"8/2/2022 8 p.m. MDT",7247,7246,7161,-86
PSCO,"8/2/2022 9 p.m. MDT",6945,6995,6938,-7
PSCO,"8/2/2022 10 p.m. MDT",6729,6640,6519,-210
PSCO,"8/2/2022 11 p.m. MDT",6146,6013,6050,-96
PSCO,"8/3/2022 12 a.m. MDT",5522,5543,5580,58
PSCO,"8/3/2022 1 a.m. MDT",5207,5193,5322,115
PSCO,"8/3/2022 2 a.m. MDT",5063,4993,5199,136
PSCO,"8/3/2022 3 a.m. MDT",4867,4752,4942,75
PSCO,"8/3/2022 4 a.m. MDT",4741,4618,4771,30
PSCO,"8/3/2022 5 a.m. MDT",4732,4553,4869,137
PSCO,"8/3/2022 6 a.m. MDT",4815,4697,4997,182
PSCO,"8/3/2022 7 a.m. MDT",5014,4761,5234,220
PSCO,"8/3/2022 8 a.m. MDT",5332,4963,5444,112
PSCO,"8/3/2022 9 a.m. MDT",5662,5263,5766,104
PSCO,"8/3/2022 10 a.m. MDT",5852,5612,5998,146
PSCO,"8/3/2022 11 a.m. MDT",6090,5936,6287,197
PSCO,"8/3/2022 12 p.m. MDT",6358,6293,6593,235
PSCO,"8/3/2022 1 p.m. MDT",6696,6606,6993,297
PSCO,"8/3/2022 2 p.m. MDT",6941,6906,7061,120
PSCO,"8/3/2022 3 p.m. MDT",7252,7232,7325,73
PSCO,"8/3/2022 4 p.m. MDT",7447,7319,7480,33
PSCO,"8/3/2022 5 p.m. MDT",7552,7453,7557,5
PSCO,"8/3/2022 6 p.m. MDT",7473,7427,7472,-1
PSCO,"8/3/2022 7 p.m. MDT",7163,7237,7030,-133
PSCO,"8/3/2022 8 p.m. MDT",6819,6995,6766,-53
PSCO,"8/3/2022 9 p.m. MDT",6604,6805,6501,-103
PSCO,"8/3/2022 10 p.m. MDT",6284,6426,6224,-60
PSCO,"8/3/2022 11 p.m. MDT",5796,5836,5733,-63
PSCO,"8/4/2022 12 a.m. MDT",5411,5375,5261,-150
PSCO,"8/4/2022 1 a.m. MDT",5103,5074,5060,-43
PSCO,"8/4/2022 2 a.m. MDT",4825,4823,4732,-93
PSCO,"8/4/2022 3 a.m. MDT",4650,4585,4771,121
PSCO,"8/4/2022 4 a.m. MDT",4521,4449,4617,96
PSCO,"8/4/2022 5 a.m. MDT",4517,4412,4556,39
PSCO,"8/4/2022 6 a.m. MDT",4679,4584,4746,67
PSCO,"8/4/2022 7 a.m. MDT",4876,4748,4878,2
PSCO,"8/4/2022 8 a.m. MDT",5189,4960,5197,8
