BA Code,Timestamp (Hour Ending),Demand (MWh)
PSCO,1/1/2023 12 a.m. MST,4564.0
PSCO,1/1/2023 1 a.m. MST,4414.0
PSCO,1/1/2023 2 a.m. MST,4312.0
PSCO,1/1/2023 3 a.m. MST,4214.0
PSCO,1/1/2023 4 a.m. MST,4140.0
PSCO,1/1/2023 5 a.m. MST,4136.0
PSCO,1/1/2023 6 a.m. MST,4209.0
PSCO,1/1/2023 7 a.m. MST,4379.0
PSCO,1/1/2023 8 a.m. MST,4398.0
PSCO,1/1/2023 9 a.m. MST,4489.0
PSCO,1/1/2023 10 a.m. MST,4546.0
PSCO,1/1/2023 11 a.m. MST,4561.0
PSCO,1/1/2023 12 p.m. MST,4524.0
PSCO,1/1/2023 1 p.m. MST,4552.0
PSCO,1/1/2023 2 p.m. MST,4572.0
PSCO,1/1/2023 3 p.m. MST,4645.0
PSCO,1/1/2023 4 p.m. MST,4778.0
PSCO,1/1/2023 5 p.m. MST,5090.0
PSCO,1/1/2023 6 p.m. MST,5388.0
PSCO,1/1/2023 7 p.m. MST,5358.0
PSCO,1/1/2023 8 p.m. MST,5207.0
PSCO,1/1/2023 9 p.m. MST,5085.0
PSCO,1/1/2023 10 p.m. MST,4893.0
PSCO,1/1/2023 11 p.m. MST,4638.0
PSCO,1/2/2023 12 a.m. MST,4501.0
PSCO,1/2/2023 1 a.m. MST,4345.0
PSCO,1/2/2023 2 a.m. MST,4242.0
PSCO,1/2/2023 3 a.m. MST,4203.0
PSCO,1/2/2023 4 a.m. MST,4253.0
PSCO,1/2/2023 5 a.m. MST,4335.0
PSCO,1/2/2023 6 a.m. MST,4516.0
PSCO,1/2/2023 7 a.m. MST,4737.0
PSCO,1/2/2023 8 a.m. MST,4865.0
PSCO,1/2/2023 9 a.m. MST,5041.0
PSCO,1/2/2023 10 a.m. MST,5181.0
PSCO,1/2/2023 11 a.m. MST,5283.0
PSCO,1/2/2023 12 p.m. MST,5349.0
PSCO,1/2/2023 1 p.m. MST,5425.0
PSCO,1/2/2023 2 p.m. MST,5474.0
PSCO,1/2/2023 3 p.m. MST,5456.0
PSCO,1/2/2023 4 p.m. MST,5537.0
PSCO,1/2/2023 5 p.m. MST,5751.0
PSCO,1/2/2023 6 p.m. MST,6021.0
PSCO,1/2/2023 7 p.m. MST,5905.0
PSCO,1/2/2023 8 p.m. MST,5743.0
PSCO,1/2/2023 9 p.m. MST,5589.0
PSCO,1/2/2023 10 p.m. MST,5315.0
PSCO,1/2/2023 11 p.m. MST,4974.0
PSCO,1/3/2023 12 a.m. MST,4781.0
PSCO,1/3/2023 1 a.m. MST,4621.0
PSCO,1/3/2023 2 a.m. MST,4550.0
PSCO,1/3/2023 3 a.m. MST,4516.0
PSCO,1/3/2023 4 a.m. MST,4552.0
PSCO,1/3/2023 5 a.m. MST,4696.0
PSCO,1/3/2023 6 a.m. MST,4936.0
PSCO,1/3/2023 7 a.m. MST,5282.0
PSCO,1/3/2023 8 a.m. MST,5458.0
PSCO,1/3/2023 9 a.m. MST,5488.0
PSCO,1/3/2023 10 a.m. MST,5483.0
PSCO,1/3/2023 11 a.m. MST,5521.0
PSCO,1/3/2023 12 p.m. MST,5495.0
PSCO,1/3/2023 1 p.m. MST,5519.0
PSCO,1/3/2023 2 p.m. MST,5542.0
PSCO,1/3/2023 3 p.m. MST,5491.0
PSCO,1/3/2023 4 p.m. MST,5494.0
PSCO,1/3/2023 5 p.m. MST,5775.0
PSCO,1/3/2023 6 p.m. MST,6102.0
PSCO,1/3/2023 7 p.m. MST,6068.0
PSCO,1/3/2023 8 p.m. MST,5860.0
PSCO,1/3/2023 9 p.m. MST,5655.0
PSCO,1/3/2023 10 p.m. MST,5456.0
PSCO,1/3/2023 11 p.m. MST,5109.0
PSCO,1/4/2023 12 a.m. MST,5006.0
PSCO,1/4/2023 1 a.m. MST,4841.0
PSCO,1/4/2023 2 a.m. MST,4831.0
PSCO,1/4/2023 3 a.m. MST,4757.0
PSCO,1/4/2023 4 a.m. MST,4741.0
PSCO,1/4/2023 5 a.m. MST,4857.0
PSCO,1/4/2023 6 a.m. MST,5069.0
PSCO,1/4/2023 7 a.m. MST,5411.0
PSCO,1/4/2023 8 a.m. MST,5599.0
PSCO,1/4/2023 9 a.m. MST,5587.0
PSCO,1/4/2023 10 a.m. MST,5524.0
PSCO,1/4/2023 11 a.m. MST,5479.0
PSCO,1/4/2023 12 p.m. MST,5370.0
PSCO,1/4/2023 1 p.m. MST,5348.0
PSCO,1/4/2023 2 p.m. MST,5218.0
PSCO,1/4/2023 3 p.m. MST,5160.0
PSCO,1/4/2023 4 p.m. MST,5252.0
PSCO,1/4/2023 5 p.m. MST,5546.0
PSCO,1/4/2023 6 p.m. MST,5982.0
PSCO,1/4/2023 7 p.m. MST,5956.0
PSCO,1/4/2023 8 p.m. MST,5832.0
PSCO,1/4/2023 9 p.m. MST,5740.0
PSCO,1/4/2023 10 p.m. MST,5487.0
PSCO,1/4/2023 11 p.m. MST,5197.0
PSCO,1/5/2023 12 a.m. MST,4977.0
PSCO,1/5/2023 1 a.m. MST,4866.0
PSCO,1/5/2023 2 a.m. MST,4789.0
PSCO,1/5/2023 3 a.m. MST,4729.0
PSCO,1/5/2023 4 a.m. MST,4778.0
PSCO,1/5/2023 5 a.m. MST,4909.0
PSCO,1/5/2023 6 a.m. MST,5203.0
PSCO,1/5/2023 7 a.m. MST,5550.0
PSCO,1/5/2023 8 a.m. MST,5676.0
PSCO,1/5/2023 9 a.m. MST,5693.0
PSCO,1/5/2023 10 a.m. MST,5713.0
PSCO,1/5/2023 11 a.m. MST,5703.0
PSCO,1/5/2023 12 p.m. MST,5597.0
PSCO,1/5/2023 1 p.m. MST,5478.0
PSCO,1/5/2023 2 p.m. MST,5399.0
PSCO,1/5/2023 3 p.m. MST,5227.0
PSCO,1/5/2023 4 p.m. MST,5255.0
PSCO,1/5/2023 5 p.m. MST,5588.0
PSCO,1/5/2023 6 p.m. MST,6008.0
PSCO,1/5/2023 7 p.m. MST,6000.0
PSCO,1/5/2023 8 p.m. MST,5888.0
PSCO,1/5/2023 9 p.m. MST,5729.0
PSCO,1/5/2023 10 p.m. MST,5480.0
PSCO,1/5/2023 11 p.m. MST,5139.0
PSCO,1/6/2023 12 a.m. MST,4938.0
PSCO,1/6/2023 1 a.m. MST,4730.0
PSCO,1/6/2023 2 a.m. MST,4635.0
PSCO,1/6/2023 3 a.m. MST,4614.0
PSCO,1/6/2023 4 a.m. MST,4630.0
PSCO,1/6/2023 5 a.m. MST,4759.0
PSCO,1/6/2023 6 a.m. MST,4993.0
PSCO,1/6/2023 7 a.m. MST,5360.0
PSCO,1/6/2023 8 a.m. MST,5497.0
PSCO,1/6/2023 9 a.m. MST,5521.0
PSCO,1/6/2023 10 a.m. MST,5468.0
PSCO,1/6/2023 11 a.m. MST,5422.0
PSCO,1/6/2023 12 p.m. MST,5337.0
PSCO,1/6/2023 1 p.m. MST,5288.0
PSCO,1/6/2023 2 p.m. MST,5170.0
PSCO,1/6/2023 3 p.m. MST,5125.0
PSCO,1/6/2023 4 p.m. MST,5271.0
PSCO,1/6/2023 5 p.m. MST,5367.0
PSCO,1/6/2023 6 p.m. MST,5797.0
PSCO,1/6/2023 7 p.m. MST,5724.0
PSCO,1/6/2023 8 p.m. MST,5596.0
PSCO,1/6/2023 9 p.m. MST,5459.0
PSCO,1/6/2023 10 p.m. MST,5303.0
PSCO,1/6/2023 11 p.m. MST,5036.0
PSCO,1/7/2023 12 a.m. MST,4816.0
PSCO,1/7/2023 1 a.m. MST,4692.0
PSCO,1/7/2023 2 a.m. MST,4521.0
PSCO,1/7/2023 3 a.m. MST,4424.0
PSCO,1/7/2023 4 a.m. MST,4466.0
PSCO,1/7/2023 5 a.m. MST,4563.0
PSCO,1/7/2023 6 a.m. MST,4696.0
PSCO,1/7/2023 7 a.m. MST,4903.0
PSCO,1/7/2023 8 a.m. MST,4979.0
PSCO,1/7/2023 9 a.m. MST,4981.0
PSCO,1/7/2023 10 a.m. MST,4900.0
PSCO,1/7/2023 11 a.m. MST,4740.0
PSCO,1/7/2023 12 p.m. MST,4724.0
PSCO,1/7/2023 1 p.m. MST,4621.0
PSCO,1/7/2023 2 p.m. MST,4561.0
PSCO,1/7/2023 3 p.m. MST,4537.0
PSCO,1/7/2023 4 p.m. MST,4641.0
PSCO,1/7/2023 5 p.m. MST,4969.0
PSCO,1/7/2023 6 p.m. MST,5384.0
PSCO,1/7/2023 7 p.m. MST,5449.0
PSCO,1/7/2023 8 p.m. MST,5410.0
PSCO,1/7/2023 9 p.m. MST,5332.0
PSCO,1/7/2023 10 p.m. MST,5153.0
PSCO,1/7/2023 11 p.m. MST,4965.0
PSCO,1/8/2023 12 a.m. MST,4837.0
PSCO,1/8/2023 1 a.m. MST,4670.0
PSCO,1/8/2023 2 a.m. MST,4508.0
PSCO,1/8/2023 3 a.m. MST,4435.0
PSCO,1/8/2023 4 a.m. MST,4447.0
PSCO,1/8/2023 5 a.m. MST,4540.0
PSCO,1/8/2023 6 a.m. MST,4643.0
PSCO,1/8/2023 7 a.m. MST,4807.0
PSCO,1/8/2023 8 a.m. MST,4858.0
PSCO,1/8/2023 9 a.m. MST,4910.0
PSCO,1/8/2023 10 a.m. MST,4888.0
PSCO,1/8/2023 11 a.m. MST,4709.0
PSCO,1/8/2023 12 p.m. MST,4647.0
PSCO,1/8/2023 1 p.m. MST,4590.0
PSCO,1/8/2023 2 p.m. MST,4546.0
PSCO,1/8/2023 3 p.m. MST,4500.0
PSCO,1/8/2023 4 p.m. MST,4700.0
PSCO,1/8/2023 5 p.m. MST,5108.0
PSCO,1/8/2023 6 p.m. MST,5480.0
PSCO,1/8/2023 7 p.m. MST,5524.0
PSCO,1/8/2023 8 p.m. MST,5511.0
PSCO,1/8/2023 9 p.m. MST,5283.0
PSCO,1/8/2023 10 p.m. MST,5014.0
PSCO,1/8/2023 11 p.m. MST,4783.0
PSCO,1/9/2023 12 a.m. MST,4608.0
PSCO,1/9/2023 1 a.m. MST,4403.0
PSCO,1/9/2023 2 a.m. MST,4292.0
PSCO,1/9/2023 3 a.m. MST,4278.0
PSCO,1/9/2023 4 a.m. MST,4317.0
PSCO,1/9/2023 5 a.m. MST,4436.0
PSCO,1/9/2023 6 a.m. MST,4733.0
PSCO,1/9/2023 7 a.m. MST,5176.0
PSCO,1/9/2023 8 a.m. MST,5374.0
PSCO,1/9/2023 9 a.m. MST,5237.0
PSCO,1/9/2023 10 a.m. MST,5062.0
PSCO,1/9/2023 11 a.m. MST,4970.0
PSCO,1/9/2023 12 p.m. MST,4958.0
PSCO,1/9/2023 1 p.m. MST,5066.0
PSCO,1/9/2023 2 p.m. MST,5147.0
PSCO,1/9/2023 3 p.m. MST,5119.0
PSCO,1/9/2023 4 p.m. MST,5014.0
PSCO,1/9/2023 5 p.m. MST,5265.0
PSCO,1/9/2023 6 p.m. MST,5693.0
