Timestamp (Hour Ending),Demand (MWh)
2023-01-04 00:00:00,5006.0
2023-01-04 01:00:00,4841.0
2023-01-04 02:00:00,4831.0
2023-01-04 03:00:00,4757.0
2023-01-04 04:00:00,4741.0
2023-01-04 05:00:00,4857.0
2023-01-04 06:00:00,5069.0
2023-01-04 07:00:00,5411.0
2023-01-04 08:00:00,5599.0
2023-01-04 09:00:00,5587.0
2023-01-04 10:00:00,5524.0
2023-01-04 11:00:00,5479.0
2023-01-04 12:00:00,5370.0
2023-01-04 13:00:00,5348.0
2023-01-04 14:00:00,5218.0
2023-01-04 15:00:00,5160.0
2023-01-04 16:00:00,5252.0
2023-01-04 17:00:00,5546.0
2023-01-04 18:00:00,5982.0
2023-01-04 19:00:00,5956.0
2023-01-04 20:00:00,5832.0
2023-01-04 21:00:00,5740.0
2023-01-04 22:00:00,5487.0
2023-01-04 23:00:00,5197.0
2023-01-05 00:00:00,4977.0
2023-01-05 01:00:00,4866.0
2023-01-05 02:00:00,4789.0
2023-01-05 03:00:00,4729.0
2023-01-05 04:00:00,4778.0
2023-01-05 05:00:00,4909.0
2023-01-05 06:00:00,5203.0
2023-01-05 07:00:00,5550.0
2023-01-05 08:00:00,5676.0
2023-01-05 09:00:00,5693.0
2023-01-05 10:00:00,5713.0
2023-01-05 11:00:00,5703.0
2023-01-05 12:00:00,5597.0
2023-01-05 13:00:00,5478.0
2023-01-05 14:00:00,5399.0
2023-01-05 15:00:00,5227.0
2023-01-05 16:00:00,5255.0
2023-01-05 17:00:00,5588.0
2023-01-05 18:00:00,6008.0
2023-01-05 19:00:00,6000.0
2023-01-05 20:00:00,5888.0
2023-01-05 21:00:00,5729.0
2023-01-05 22:00:00,5480.0
2023-01-05 23:00:00,5139.0
2023-01-06 00:00:00,4938.0
2023-01-06 01:00:00,4730.0
2023-01-06 02:00:00,4635.0
2023-01-06 03:00:00,4614.0
2023-01-06 04:00:00,4630.0
2023-01-06 05:00:00,4759.0
2023-01-06 06:00:00,4993.0
2023-01-06 07:00:00,5360.0
2023-01-06 08:00:00,5497.0
2023-01-06 09:00:00,5521.0
2023-01-06 10:00:00,5468.0
2023-01-06 11:00:00,5422.0
2023-01-06 12:00:00,5337.0
2023-01-06 13:00:00,5288.0
2023-01-06 14:00:00,5170.0
2023-01-06 15:00:00,5125.0
2023-01-06 16:00:00,5271.0
2023-01-06 17:00:00,5367.0
2023-01-06 18:00:00,5797.0
2023-01-06 19:00:00,5724.0
2023-01-06 20:00:00,5596.0
2023-01-06 21:00:00,5459.0
2023-01-06 22:00:00,5303.0
2023-01-06 23:00:00,5036.0
2023-01-07 00:00:00,4816.0
2023-01-07 01:00:00,4692.0
2023-01-07 02:00:00,4521.0
2023-01-07 03:00:00,4424.0
2023-01-07 04:00:00,4466.0
2023-01-07 05:00:00,4563.0
2023-01-07 06:00:00,4696.0
2023-01-07 07:00:00,4903.0
2023-01-07 08:00:00,4979.0
2023-01-07 09:00:00,4981.0
2023-01-07 10:00:00,4900.0
2023-01-07 11:00:00,4740.0
2023-01-07 12:00:00,4724.0
2023-01-07 13:00:00,4621.0
2023-01-07 14:00:00,4561.0
2023-01-07 15:00:00,4537.0
2023-01-07 16:00:00,4641.0
2023-01-07 17:00:00,4969.0
2023-01-07 18:00:00,5384.0
2023-01-07 19:00:00,5449.0
2023-01-07 20:00:00,5410.0
2023-01-07 21:00:00,5332.0
2023-01-07 22:00:00,5153.0
2023-01-07 23:00:00,4965.0
2023-01-08 00:00:00,4837.0
2023-01-08 01:00:00,4670.0
2023-01-08 02:00:00,4508.0
2023-01-08 03:00:00,4435.0
2023-01-08 04:00:00,4447.0
2023-01-08 05:00:00,4540.0
2023-01-08 06:00:00,4643.0
2023-01-08 07:00:00,4807.0
2023-01-08 08:00:00,4858.0
2023-01-08 09:00:00,4910.0
2023-01-08 10:00:00,4888.0
2023-01-08 11:00:00,4709.0
2023-01-08 12:00:00,4647.0
2023-01-08 13:00:00,4590.0
2023-01-08 14:00:00,4546.0
2023-01-08 15:00:00,4500.0
2023-01-08 16:00:00,4700.0
2023-01-08 17:00:00,5108.0
2023-01-08 18:00:00,5480.0
2023-01-08 19:00:00,5524.0
2023-01-08 20:00:00,5511.0
2023-01-08 21:00:00,5283.0
2023-01-08 22:00:00,5014.0
2023-01-08 23:00:00,4783.0
2023-01-09 00:00:00,4608.0
2023-01-09 01:00:00,4403.0
2023-01-09 02:00:00,4292.0
2023-01-09 03:00:00,4278.0
2023-01-09 04:00:00,4317.0
2023-01-09 05:00:00,4436.0
2023-01-09 06:00:00,4733.0
2023-01-09 07:00:00,5176.0
2023-01-09 08:00:00,5374.0
2023-01-09 09:00:00,5237.0
2023-01-09 10:00:00,5062.0
2023-01-09 11:00:00,4970.0
2023-01-09 12:00:00,4958.0
2023-01-09 13:00:00,5066.0
2023-01-09 14:00:00,5147.0
2023-01-09 15:00:00,5119.0
2023-01-09 16:00:00,5014.0
2023-01-09 17:00:00,5265.0
2023-01-09 18:00:00,5693.0
2023-01-09 19:00:00,5667.0
2023-01-09 20:00:00,5522.0
2023-01-09 21:00:00,5391.0
2023-01-09 22:00:00,5151.0
2023-01-09 23:00:00,4798.0
2023-01-10 00:00:00,4592.0
2023-01-10 01:00:00,4447.0
2023-01-10 02:00:00,4395.0
2023-01-10 03:00:00,4350.0
2023-01-10 04:00:00,4383.0
2023-01-10 05:00:00,4500.0
2023-01-10 06:00:00,4795.0
2023-01-10 07:00:00,5205.0
2023-01-10 08:00:00,5357.0
2023-01-10 09:00:00,5196.0
2023-01-10 10:00:00,5027.0
2023-01-10 11:00:00,4870.0
2023-01-10 12:00:00,4819.0
2023-01-10 13:00:00,4744.0
2023-01-10 14:00:00,4720.0
2023-01-10 15:00:00,4720.0
2023-01-10 16:00:00,4855.0
2023-01-10 17:00:00,5166.0
2023-01-10 18:00:00,5505.0
2023-01-10 19:00:00,5470.0
2023-01-10 20:00:00,5323.0
2023-01-10 21:00:00,5157.0
2023-01-10 22:00:00,4929.0
2023-01-10 23:00:00,4629.0
2023-01-11 00:00:00,4412.0
2023-01-11 01:00:00,4287.0
2023-01-11 02:00:00,4207.0
2023-01-11 03:00:00,4215.0
2023-01-11 04:00:00,4241.0
2023-01-11 05:00:00,4335.0
2023-01-11 06:00:00,4588.0
2023-01-11 07:00:00,5070.0
2023-01-11 08:00:00,5279.0
2023-01-11 09:00:00,5468.0
2023-01-11 10:00:00,5602.0
2023-01-11 11:00:00,5715.0
2023-01-11 12:00:00,5706.0
2023-01-11 13:00:00,5608.0
2023-01-11 14:00:00,5538.0
2023-01-11 15:00:00,5531.0
2023-01-11 16:00:00,5595.0
2023-01-11 17:00:00,5817.0
2023-01-11 18:00:00,6048.0
2023-01-11 19:00:00,5940.0
2023-01-11 20:00:00,5774.0
2023-01-11 21:00:00,5613.0
2023-01-11 22:00:00,5332.0
2023-01-11 23:00:00,5022.0
2023-01-12 00:00:00,4781.0
2023-01-12 01:00:00,4616.0
2023-01-12 02:00:00,4531.0
2023-01-12 03:00:00,4481.0
2023-01-12 04:00:00,4484.0
2023-01-12 05:00:00,4590.0
2023-01-12 06:00:00,4874.0
2023-01-12 07:00:00,5370.0
2023-01-12 08:00:00,5654.0
2023-01-12 09:00:00,5512.0
2023-01-12 10:00:00,5244.0
2023-01-12 11:00:00,5046.0
2023-01-12 12:00:00,4925.0
2023-01-12 13:00:00,4817.0
2023-01-12 14:00:00,4792.0
2023-01-12 15:00:00,4807.0
2023-01-12 16:00:00,4945.0
2023-01-12 17:00:00,5238.0
2023-01-12 18:00:00,5629.0
2023-01-12 19:00:00,5627.0
2023-01-12 20:00:00,5537.0
2023-01-12 21:00:00,5464.0
2023-01-12 22:00:00,5250.0
2023-01-12 23:00:00,5002.0
2023-01-13 00:00:00,4770.0
2023-01-13 01:00:00,4604.0
2023-01-13 02:00:00,4505.0
2023-01-13 03:00:00,4464.0
2023-01-13 04:00:00,4465.0
2023-01-13 05:00:00,4596.0
