"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"12/1/2022 12 a.m. MST",4981,4887,5353,372
PSCO,"12/1/2022 1 a.m. MST",4786,4690,5317,531
PSCO,"12/1/2022 2 a.m. MST",4686,4578,5221,535
PSCO,"12/1/2022 3 a.m. MST",4661,4552,5117,456
PSCO,"12/1/2022 4 a.m. MST",4655,4608,5176,521
PSCO,"12/1/2022 5 a.m. MST",4768,4727,5279,511
PSCO,"12/1/2022 6 a.m. MST",5012,5005,5295,283
PSCO,"12/1/2022 7 a.m. MST",5342,5512,5549,207
PSCO,"12/1/2022 8 a.m. MST",5433,5618,5780,347
PSCO,"12/1/2022 9 a.m. MST",5279,5386,5668,389
PSCO,"12/1/2022 10 a.m. MST",5098,5076,5541,443
PSCO,"12/1/2022 11 a.m. MST",4943,4905,5454,511
PSCO,"12/1/2022 12 p.m. MST",4810,4792,5229,419
PSCO,"12/1/2022 1 p.m. MST",4713,4752,5133,420
PSCO,"12/1/2022 2 p.m. MST",4783,4705,5251,468
PSCO,"12/1/2022 3 p.m. MST",4856,4749,5164,308
PSCO,"12/1/2022 4 p.m. MST",5046,4870,5330,284
PSCO,"12/1/2022 5 p.m. MST",5327,5231,5573,246
PSCO,"12/1/2022 6 p.m. MST",5616,5619,6002,386
PSCO,"12/1/2022 7 p.m. MST",5532,5569,6015,483
PSCO,"12/1/2022 8 p.m. MST",5325,5445,5845,520
PSCO,"12/1/2022 9 p.m. MST",5164,5325,5553,389
PSCO,"12/1/2022 10 p.m. MST",4947,5141,5342,395
PSCO,"12/1/2022 11 p.m. MST",4655,4862,5151,496
PSCO,"12/2/2022 12 a.m. MST",4432,4630,4802,370
PSCO,"12/2/2022 1 a.m. MST",4227,4454,4716,489
PSCO,"12/2/2022 2 a.m. MST",4084,4222,4699,615
PSCO,"12/2/2022 3 a.m. MST",4054,4342,4652,598
PSCO,"12/2/2022 4 a.m. MST",4134,4372,4629,495
PSCO,"12/2/2022 5 a.m. MST",4162,4516,4544,382
PSCO,"12/2/2022 6 a.m. MST",4393,4719,4671,278
PSCO,"12/2/2022 7 a.m. MST",4737,5164,4929,192
PSCO,"12/2/2022 8 a.m. MST",4939,5280,5254,315
PSCO,"12/2/2022 9 a.m. MST",4801,5174,5047,246
PSCO,"12/2/2022 10 a.m. MST",4741,5026,4916,175
PSCO,"12/2/2022 11 a.m. MST",4818,4898,5008,190
PSCO,"12/2/2022 12 p.m. MST",4783,4817,5023,240
PSCO,"12/2/2022 1 p.m. MST",4740,4752,4993,253
PSCO,"12/2/2022 2 p.m. MST",4735,4803,4979,244
PSCO,"12/2/2022 3 p.m. MST",4781,4841,5063,282
PSCO,"12/2/2022 4 p.m. MST",4974,4963,5120,146
