"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"2/1/2023 12 a.m. MST",5253,5055,5797,544
PSCO,"2/1/2023 1 a.m. MST",5112,4918,5552,440
PSCO,"2/1/2023 2 a.m. MST",5058,4853,5455,397
PSCO,"2/1/2023 3 a.m. MST",5024,4838,5421,397
PSCO,"2/1/2023 4 a.m. MST",5051,4925,5488,437
PSCO,"2/1/2023 5 a.m. MST",5151,5049,5562,411
PSCO,"2/1/2023 6 a.m. MST",5352,5269,5744,392
PSCO,"2/1/2023 7 a.m. MST",5768,5706,6032,264
PSCO,"2/1/2023 8 a.m. MST",5947,5811,6325,378
PSCO,"2/1/2023 9 a.m. MST",5764,5662,6243,479
PSCO,"2/1/2023 10 a.m. MST",5532,5517,6237,705
PSCO,"2/1/2023 11 a.m. MST",5312,5338,5883,571
PSCO,"2/1/2023 12 p.m. MST",5119,5141,5571,452
PSCO,"2/1/2023 1 p.m. MST",5033,5035,5406,373
PSCO,"2/1/2023 2 p.m. MST",4895,4988,5384,489
PSCO,"2/1/2023 3 p.m. MST",4871,4919,5377,506
PSCO,"2/1/2023 4 p.m. MST",5018,5015,5235,217
PSCO,"2/1/2023 5 p.m. MST",5252,5246,5509,257
PSCO,"2/1/2023 6 p.m. MST",5657,5620,6060,403
PSCO,"2/1/2023 7 p.m. MST",5816,5786,6265,449
PSCO,"2/1/2023 8 p.m. MST",5763,5719,6284,521
PSCO,"2/1/2023 9 p.m. MST",5664,5579,6140,476
PSCO,"2/1/2023 10 p.m. MST",5428,5385,6048,620
PSCO,"2/1/2023 11 p.m. MST",5133,5087,5807,674
PSCO,"2/2/2023 12 a.m. MST",4879,4865,5556,677
PSCO,"2/2/2023 1 a.m. MST",4686,4761,5527,841
PSCO,"2/2/2023 2 a.m. MST",4633,4658,5573,940
PSCO,"2/2/2023 3 a.m. MST",4597,4659,5393,796
PSCO,"2/2/2023 4 a.m. MST",4684,4692,5448,764
PSCO,"2/2/2023 5 a.m. MST",4791,4803,5575,784
PSCO,"2/2/2023 6 a.m. MST",5123,5098,5887,764
PSCO,"2/2/2023 7 a.m. MST",5480,5517,6094,614
PSCO,"2/2/2023 8 a.m. MST",5663,5643,6374,711
PSCO,"2/2/2023 9 a.m. MST",5454,5491,5877,423
PSCO,"2/2/2023 10 a.m. MST",5172,5324,5527,355
PSCO,"2/2/2023 11 a.m. MST",5025,5122,5280,255
PSCO,"2/2/2023 12 p.m. MST",4914,4983,5171,257
PSCO,"2/2/2023 1 p.m. MST",4782,4851,4984,202
PSCO,"2/2/2023 2 p.m. MST",4788,4776,4973,185
