"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"1/1/2023 12 a.m. MST",4564,4532,4779,215
PSCO,"1/1/2023 1 a.m. MST",4414,4453,4606,192
PSCO,"1/1/2023 2 a.m. MST",4312,4378,4555,243
PSCO,"1/1/2023 3 a.m. MST",4214,4240,4634,420
PSCO,"1/1/2023 4 a.m. MST",4140,4196,4548,408
PSCO,"1/1/2023 5 a.m. MST",4136,4253,4567,431
PSCO,"1/1/2023 6 a.m. MST",4209,4278,4470,261
PSCO,"1/1/2023 7 a.m. MST",4379,4439,4534,155
PSCO,"1/1/2023 8 a.m. MST",4398,4633,4661,263
PSCO,"1/1/2023 9 a.m. MST",4489,4569,4667,178
PSCO,"1/1/2023 10 a.m. MST",4546,4468,4675,129
PSCO,"1/1/2023 11 a.m. MST",4561,4445,4682,121
PSCO,"1/1/2023 12 p.m. MST",4524,4432,4644,120
PSCO,"1/1/2023 1 p.m. MST",4552,4347,4596,44
PSCO,"1/1/2023 2 p.m. MST",4572,4635,4558,-14
PSCO,"1/1/2023 3 p.m. MST",4645,4729,4641,-4
PSCO,"1/1/2023 4 p.m. MST",4778,4841,4814,36
PSCO,"1/1/2023 5 p.m. MST",5090,5048,5327,237
PSCO,"1/1/2023 6 p.m. MST",5388,5391,5698,310
PSCO,"1/1/2023 7 p.m. MST",5358,5384,5654,296
PSCO,"1/1/2023 8 p.m. MST",5207,5200,5383,176
PSCO,"1/1/2023 9 p.m. MST",5085,5139,5262,177
PSCO,"1/1/2023 10 p.m. MST",4893,4969,5148,255
PSCO,"1/1/2023 11 p.m. MST",4638,4666,4919,281
PSCO,"1/2/2023 12 a.m. MST",4501,4609,4712,211
PSCO,"1/2/2023 1 a.m. MST",4345,4378,4614,269
PSCO,"1/2/2023 2 a.m. MST",4242,4383,4479,237
PSCO,"1/2/2023 3 a.m. MST",4203,4395,4417,214
PSCO,"1/2/2023 4 a.m. MST",4253,4393,4443,190
PSCO,"1/2/2023 5 a.m. MST",4335,4327,4494,159
PSCO,"1/2/2023 6 a.m. MST",4516,4452,4686,170
PSCO,"1/2/2023 7 a.m. MST",4737,4637,4898,161
PSCO,"1/2/2023 8 a.m. MST",4865,4876,5094,229
PSCO,"1/2/2023 9 a.m. MST",5041,4997,5182,141
PSCO,"1/2/2023 10 a.m. MST",5181,5166,5296,115
PSCO,"1/2/2023 11 a.m. MST",5283,5226,5457,174
PSCO,"1/2/2023 12 p.m. MST",5349,5357,5421,72
PSCO,"1/2/2023 1 p.m. MST",5425,5408,5372,-53
PSCO,"1/2/2023 2 p.m. MST",5474,5392,5242,-232
PSCO,"1/2/2023 3 p.m. MST",5456,5428,5195,-261
PSCO,"1/2/2023 4 p.m. MST",5537,5517,5205,-332
PSCO,"1/2/2023 5 p.m. MST",5751,5678,5422,-329
PSCO,"1/2/2023 6 p.m. MST",6021,5898,5737,-284
PSCO,"1/2/2023 7 p.m. MST",5905,5927,5734,-171
PSCO,"1/2/2023 8 p.m. MST",5743,5746,5385,-358
PSCO,"1/2/2023 9 p.m. MST",5589,5512,5414,-175
PSCO,"1/2/2023 10 p.m. MST",5315,5212,5695,380
PSCO,"1/2/2023 11 p.m. MST",4974,4925,5413,439
PSCO,"1/3/2023 12 a.m. MST",4781,4873,5339,558
PSCO,"1/3/2023 1 a.m. MST",4621,4657,5155,534
PSCO,"1/3/2023 2 a.m. MST",4550,4640,4997,447
PSCO,"1/3/2023 3 a.m. MST",4516,4555,4944,428
