"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"3/1/2023 12 a.m. MST",,4589,,
PSCO,"3/1/2023 1 a.m. MST",,,,
PSCO,"3/6/2023 1 a.m. MST",4339,,4685,346
PSCO,"3/6/2023 2 a.m. MST",4300,,4605,305
PSCO,"3/6/2023 3 a.m. MST",4296,,4616,320
PSCO,"3/6/2023 4 a.m. MST",4362,,4683,321
PSCO,"3/6/2023 5 a.m. MST",4512,,4773,261
PSCO,"3/6/2023 6 a.m. MST",4834,,5079,245
PSCO,"3/6/2023 7 a.m. MST",5191,,5352,161
PSCO,"3/6/2023 8 a.m. MST",5103,,5366,263
PSCO,"3/6/2023 9 a.m. MST",4950,,5168,218
PSCO,"3/6/2023 10 a.m. MST",4736,,4948,212
PSCO,"3/6/2023 11 a.m. MST",4676,,4927,251
PSCO,"3/6/2023 12 p.m. MST",4548,,4967,419
PSCO,"3/6/2023 1 p.m. MST",4511,,4911,400
PSCO,"3/6/2023 2 p.m. MST",4469,,4904,435
PSCO,"3/6/2023 3 p.m. MST",4548,,5100,552
PSCO,"3/6/2023 4 p.m. MST",4657,,5168,511
PSCO,"3/6/2023 5 p.m. MST",4973,,5352,379
PSCO,"3/6/2023 6 p.m. MST",5358,,5784,426
PSCO,"3/6/2023 7 p.m. MST",5562,,5895,333
PSCO,"3/6/2023 8 p.m. MST",5511,,5803,292
PSCO,"3/6/2023 9 p.m. MST",5345,,5615,270
PSCO,"3/6/2023 10 p.m. MST",5097,,5465,368
PSCO,"3/6/2023 11 p.m. MST",4821,,5267,446
PSCO,"3/7/2023 12 a.m. MST",4600,,5032,432
PSCO,"3/7/2023 1 a.m. MST",4461,4413,4937,476
PSCO,"3/7/2023 2 a.m. MST",4356,4287,4736,380
PSCO,"3/7/2023 3 a.m. MST",4333,4398,4799,466
PSCO,"3/7/2023 4 a.m. MST",4387,4327,4841,454
PSCO,"3/7/2023 5 a.m. MST",4371,4482,4932,561
PSCO,"3/7/2023 6 a.m. MST",4674,4759,5090,416
PSCO,"3/7/2023 7 a.m. MST",5007,5128,5158,151
PSCO,"3/7/2023 8 a.m. MST",5256,5321,5229,-27
PSCO,"3/7/2023 9 a.m. MST",5345,5282,5490,145
PSCO,"3/7/2023 10 a.m. MST",5396,5263,5491,95
PSCO,"3/7/2023 11 a.m. MST",5380,5219,5499,119
PSCO,"3/7/2023 12 p.m. MST",5288,5202,5138,-150
PSCO,"3/7/2023 1 p.m. MST",5243,5197,4908,-335
PSCO,"3/7/2023 2 p.m. MST",5249,5181,4879,-370
PSCO,"3/7/2023 3 p.m. MST",5229,5157,4910,-319
PSCO,"3/7/2023 4 p.m. MST",5248,5178,4877,-371
PSCO,"3/7/2023 5 p.m. MST",5430,5284,5005,-425
PSCO,"3/7/2023 6 p.m. MST",5652,5476,5071,-581
PSCO,"3/7/2023 7 p.m. MST",5706,5635,5134,-572
PSCO,"3/7/2023 8 p.m. MST",5585,5567,5074,-511
PSCO,"3/7/2023 9 p.m. MST",5488,5411,4975,-513
PSCO,"3/7/2023 10 p.m. MST",5212,5162,4749,-463
PSCO,"3/7/2023 11 p.m. MST",4921,4900,4992,71
PSCO,"3/8/2023 12 a.m. MST",4713,4596,4767,54
PSCO,"3/8/2023 1 a.m. MST",4556,4456,4643,87
PSCO,"3/8/2023 2 a.m. MST",4409,4392,4583,174
PSCO,"3/8/2023 3 a.m. MST",4377,4282,4583,206
PSCO,"3/8/2023 4 a.m. MST",4375,4315,4539,164
PSCO,"3/8/2023 5 a.m. MST",4527,4480,4756,229
PSCO,"3/8/2023 6 a.m. MST",4775,4817,4861,86
PSCO,"3/8/2023 7 a.m. MST",5193,5237,5181,-12
PSCO,"3/8/2023 8 a.m. MST",5357,5470,5294,-63
PSCO,"3/8/2023 9 a.m. MST",5324,5470,5476,152
PSCO,"3/8/2023 10 a.m. MST",5310,5443,5477,167
PSCO,"3/8/2023 11 a.m. MST",5119,5384,5356,237
PSCO,"3/8/2023 12 p.m. MST",4956,5273,5138,182
PSCO,"3/8/2023 1 p.m. MST",4879,5220,5105,226
PSCO,"3/8/2023 2 p.m. MST",4841,5199,5090,249
PSCO,"3/8/2023 3 p.m. MST",4939,5184,5158,219
PSCO,"3/8/2023 4 p.m. MST",5017,5201,5260,243
PSCO,"3/8/2023 5 p.m. MST",5233,5320,5442,209
PSCO,"3/8/2023 6 p.m. MST",5456,5527,5630,174
PSCO,"3/8/2023 7 p.m. MST",5618,5613,5854,236
PSCO,"3/8/2023 8 p.m. MST",5539,5559,5858,319
PSCO,"3/8/2023 9 p.m. MST",5398,5428,5596,198
PSCO,"3/8/2023 10 p.m. MST",5149,5150,5350,201
PSCO,"3/8/2023 11 p.m. MST",4858,4881,5078,220
PSCO,"3/9/2023 12 a.m. MST",4601,4625,4786,185
PSCO,"3/9/2023 1 a.m. MST",4483,4476,4594,111
PSCO,"3/9/2023 2 a.m. MST",4427,4389,4444,17
PSCO,"3/9/2023 3 a.m. MST",4401,4347,4302,-99
PSCO,"3/9/2023 4 a.m. MST",4438,4364,4237,-201
PSCO,"3/9/2023 5 a.m. MST",4540,4541,4306,-234
PSCO,"3/9/2023 6 a.m. MST",4767,4823,4511,-256
PSCO,"3/9/2023 7 a.m. MST",5149,5222,4862,-287
PSCO,"3/9/2023 8 a.m. MST",5140,5245,4745,-395
PSCO,"3/9/2023 9 a.m. MST",4890,5142,4840,-50
PSCO,"3/9/2023 10 a.m. MST",4740,4872,4763,23
PSCO,"3/9/2023 11 a.m. MST",4523,4627,4476,-47
PSCO,"3/9/2023 12 p.m. MST",4436,4530,4434,-2
PSCO,"3/9/2023 1 p.m. MST",4356,4408,4357,1
PSCO,"3/9/2023 2 p.m. MST",4349,4381,4361,12
PSCO,"3/9/2023 3 p.m. MST",4389,4419,4349,-40
