"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"5/1/2023 12 a.m. MDT",3825,4028,3929,104
PSCO,"5/1/2023 1 a.m. MDT",3686,3803,4274,588
PSCO,"5/1/2023 2 a.m. MDT",3579,3691,4143,564
PSCO,"5/1/2023 3 a.m. MDT",3680,3664,4130,450
PSCO,"5/1/2023 4 a.m. MDT",3792,3690,4235,443
PSCO,"5/1/2023 5 a.m. MDT",3858,3760,4258,400
PSCO,"5/1/2023 6 a.m. MDT",4029,3993,4168,139
PSCO,"5/1/2023 7 a.m. MDT",4164,4243,4143,-21
PSCO,"5/1/2023 8 a.m. MDT",4224,4356,4254,30
PSCO,"5/1/2023 9 a.m. MDT",4152,4308,4241,89
PSCO,"5/1/2023 10 a.m. MDT",4079,4262,4112,33
PSCO,"5/1/2023 11 a.m. MDT",4026,4218,3888,-138
PSCO,"5/1/2023 12 p.m. MDT",4021,4217,3860,-161
PSCO,"5/1/2023 1 p.m. MDT",4078,4260,3955,-123
PSCO,"5/1/2023 2 p.m. MDT",4132,4278,3958,-174
PSCO,"5/1/2023 3 p.m. MDT",4224,4374,3907,-317
PSCO,"5/1/2023 4 p.m. MDT",4367,4490,3965,-402
PSCO,"5/1/2023 5 p.m. MDT",4558,4611,4251,-307
PSCO,"5/1/2023 6 p.m. MDT",4773,4684,4576,-197
PSCO,"5/1/2023 7 p.m. MDT",4842,4818,4771,-71
PSCO,"5/1/2023 8 p.m. MDT",4843,4788,4896,53
PSCO,"5/1/2023 9 p.m. MDT",4893,4834,5212,319
PSCO,"5/1/2023 10 p.m. MDT",4662,4749,5090,428
PSCO,"5/1/2023 11 p.m. MDT",4325,4415,4696,371
PSCO,"5/2/2023 12 a.m. MDT",4022,4077,4354,332
PSCO,"5/2/2023 1 a.m. MDT",3794,3867,4081,287
PSCO,"5/2/2023 2 a.m. MDT",3672,3737,4124,452
PSCO,"5/2/2023 3 a.m. MDT",3582,3679,4076,494
PSCO,"5/2/2023 4 a.m. MDT",3581,3705,3878,297
PSCO,"5/2/2023 5 a.m. MDT",3666,3790,3901,235
PSCO,"5/2/2023 6 a.m. MDT",3853,3987,4033,180
PSCO,"5/2/2023 7 a.m. MDT",4104,4238,4152,48
