"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"11/1/2022 12 a.m. MDT",4034,3925,3890,-144
PSCO,"11/1/2022 1 a.m. MDT",3897,3783,3741,-156
PSCO,"11/1/2022 2 a.m. MDT",3828,3726,3893,65
PSCO,"11/1/2022 3 a.m. MDT",3793,3700,3841,48
PSCO,"11/1/2022 4 a.m. MDT",3826,3733,3766,-60
PSCO,"11/1/2022 5 a.m. MDT",3929,3824,3821,-108
PSCO,"11/1/2022 6 a.m. MDT",4186,4115,4109,-77
PSCO,"11/1/2022 7 a.m. MDT",4641,4508,4651,10
PSCO,"11/1/2022 8 a.m. MDT",4888,4836,4872,-16
PSCO,"11/1/2022 9 a.m. MDT",4763,4677,4760,-3
PSCO,"11/1/2022 10 a.m. MDT",4547,4482,4518,-29
PSCO,"11/1/2022 11 a.m. MDT",4403,4322,4472,69
PSCO,"11/1/2022 12 p.m. MDT",4348,4337,4488,140
PSCO,"11/1/2022 1 p.m. MDT",4334,4278,4518,184
PSCO,"11/1/2022 2 p.m. MDT",4409,4315,4520,111
PSCO,"11/1/2022 3 p.m. MDT",4463,4344,4627,164
PSCO,"11/1/2022 4 p.m. MDT",4624,4387,4743,119
PSCO,"11/1/2022 5 p.m. MDT",4719,4642,4748,29
PSCO,"11/1/2022 6 p.m. MDT",4899,4773,4909,10
PSCO,"11/1/2022 7 p.m. MDT",5028,5014,5002,-26
PSCO,"11/1/2022 8 p.m. MDT",4966,4950,5057,91
PSCO,"11/1/2022 9 p.m. MDT",4818,4789,4923,105
PSCO,"11/1/2022 10 p.m. MDT",4575,4499,4675,100
PSCO,"11/1/2022 11 p.m. MDT",4264,4200,4402,138
PSCO,"11/2/2022 12 a.m. MDT",4003,3933,4210,207
PSCO,"11/2/2022 1 a.m. MDT",3832,3765,4009,177
PSCO,"11/2/2022 2 a.m. MDT",3759,3623,4035,276
PSCO,"11/2/2022 3 a.m. MDT",3709,3604,3968,259
PSCO,"11/2/2022 4 a.m. MDT",3753,3594,4023,270
PSCO,"11/2/2022 5 a.m. MDT",3831,3721,4226,395
PSCO,"11/2/2022 6 a.m. MDT",4089,3987,4552,463
PSCO,"11/2/2022 7 a.m. MDT",4538,4386,4982,444
PSCO,"11/2/2022 8 a.m. MDT",4773,4629,5109,336
PSCO,"11/2/2022 9 a.m. MDT",4746,4599,5055,309
PSCO,"11/2/2022 10 a.m. MDT",4624,4464,4876,252
PSCO,"11/2/2022 11 a.m. MDT",4566,4330,4736,170
PSCO,"11/2/2022 12 p.m. MDT",4470,4285,4711,241
PSCO,"11/2/2022 1 p.m. MDT",4363,4292,4567,204
PSCO,"11/2/2022 2 p.m. MDT",4345,4347,4660,315
PSCO,"11/2/2022 3 p.m. MDT",4381,4367,4594,213
PSCO,"11/2/2022 4 p.m. MDT",4472,4393,4657,185
PSCO,"11/2/2022 5 p.m. MDT",4641,4516,4739,98
PSCO,"11/2/2022 6 p.m. MDT",4848,4776,4954,106
PSCO,"11/2/2022 7 p.m. MDT",4995,4832,5269,274
PSCO,"11/2/2022 8 p.m. MDT",4904,4766,5152,248
