"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"10/1/2022 12 a.m. MDT",3981,3999,4072,91
PSCO,"10/1/2022 1 a.m. MDT",3770,3717,3792,22
PSCO,"10/1/2022 2 a.m. MDT",3660,3575,3560,-100
PSCO,"10/1/2022 3 a.m. MDT",3559,3481,3401,-158
PSCO,"10/1/2022 4 a.m. MDT",3516,3547,3373,-143
PSCO,"10/1/2022 5 a.m. MDT",3480,3558,3152,-328
PSCO,"10/1/2022 6 a.m. MDT",3588,3660,3231,-357
PSCO,"10/1/2022 7 a.m. MDT",3693,3843,3364,-329
PSCO,"10/1/2022 8 a.m. MDT",3788,3872,3351,-437
PSCO,"10/1/2022 9 a.m. MDT",3828,3913,3404,-424
PSCO,"10/1/2022 10 a.m. MDT",3886,3944,3278,-608
PSCO,"10/1/2022 11 a.m. MDT",3927,3943,3284,-643
PSCO,"10/1/2022 12 p.m. MDT",3876,4012,3234,-642
PSCO,"10/1/2022 1 p.m. MDT",4052,4127,3332,-720
PSCO,"10/1/2022 2 p.m. MDT",4211,4203,3632,-579
PSCO,"10/1/2022 3 p.m. MDT",4371,4266,3958,-413
PSCO,"10/1/2022 4 p.m. MDT",4492,4344,4289,-203
PSCO,"10/1/2022 5 p.m. MDT",4541,4475,4281,-260
PSCO,"10/1/2022 6 p.m. MDT",4573,4552,4209,-364
PSCO,"10/1/2022 7 p.m. MDT",4576,4603,4296,-280
PSCO,"10/1/2022 8 p.m. MDT",4659,4640,4259,-400
PSCO,"10/1/2022 9 p.m. MDT",4503,4501,4089,-414
PSCO,"10/1/2022 10 p.m. MDT",4330,4368,3945,-385
PSCO,"10/1/2022 11 p.m. MDT",4100,4144,3609,-491
PSCO,"10/2/2022 12 a.m. MDT",3839,3952,3650,-189
PSCO,"10/2/2022 1 a.m. MDT",3630,3768,3698,68
PSCO,"10/2/2022 2 a.m. MDT",3530,3672,3352,-178
