"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"9/1/2022 12 a.m. MDT",4900,5038,4831,-69
PSCO,"9/1/2022 1 a.m. MDT",4644,4689,4752,108
PSCO,"9/1/2022 2 a.m. MDT",4446,4467,4512,66
PSCO,"9/1/2022 3 a.m. MDT",4210,4262,4264,54
PSCO,"9/1/2022 4 a.m. MDT",4141,4169,4212,71
PSCO,"9/1/2022 5 a.m. MDT",4188,4205,4277,89
PSCO,"9/1/2022 6 a.m. MDT",4315,4344,4449,134
PSCO,"9/1/2022 7 a.m. MDT",4525,4610,4548,23
PSCO,"9/1/2022 8 a.m. MDT",4538,4784,4675,137
PSCO,"9/1/2022 9 a.m. MDT",4680,4952,4681,1
PSCO,"9/1/2022 10 a.m. MDT",4911,5239,4977,66
PSCO,"9/1/2022 11 a.m. MDT",5182,5533,5173,-9
PSCO,"9/1/2022 12 p.m. MDT",5537,5874,5577,40
PSCO,"9/1/2022 1 p.m. MDT",5974,6257,6058,84
PSCO,"9/1/2022 2 p.m. MDT",6429,6638,6432,3
PSCO,"9/1/2022 3 p.m. MDT",6757,6976,6837,80
PSCO,"9/1/2022 4 p.m. MDT",7013,7274,7040,27
PSCO,"9/1/2022 5 p.m. MDT",7342,7654,7152,-190
PSCO,"9/1/2022 6 p.m. MDT",7395,7641,7112,-283
PSCO,"9/1/2022 7 p.m. MDT",7148,7347,7229,81
PSCO,"9/1/2022 8 p.m. MDT",6960,7015,6888,-72
PSCO,"9/1/2022 9 p.m. MDT",6636,6858,6676,40
PSCO,"9/1/2022 10 p.m. MDT",6079,6291,6325,246
PSCO,"9/1/2022 11 p.m. MDT",5425,5704,5559,134
PSCO,"9/2/2022 12 a.m. MDT",5096,5201,5310,214
PSCO,"9/2/2022 1 a.m. MDT",4833,4737,5154,321
PSCO,"9/2/2022 2 a.m. MDT",4596,4521,4886,290
PSCO,"9/2/2022 3 a.m. MDT",4419,4301,4692,273
PSCO,"9/2/2022 4 a.m. MDT",4306,4102,4699,393
PSCO,"9/2/2022 5 a.m. MDT",4241,4136,4746,505
PSCO,"9/2/2022 6 a.m. MDT",4223,4249,4687,464
PSCO,"9/2/2022 7 a.m. MDT",4503,4462,4712,209
PSCO,"9/2/2022 8 a.m. MDT",4610,4605,4717,107
PSCO,"9/2/2022 9 a.m. MDT",4795,4813,4916,121
PSCO,"9/2/2022 10 a.m. MDT",5043,5103,5192,149
PSCO,"9/2/2022 11 a.m. MDT",5340,5433,5545,205
PSCO,"9/2/2022 12 p.m. MDT",5768,5802,5861,93
PSCO,"9/2/2022 1 p.m. MDT",6203,6234,6357,154
PSCO,"9/2/2022 2 p.m. MDT",6601,6600,6759,158
PSCO,"9/2/2022 3 p.m. MDT",6978,6939,7305,327
PSCO,"9/2/2022 4 p.m. MDT",7232,7267,7702,470
PSCO,"9/2/2022 5 p.m. MDT",7447,7605,7741,294
PSCO,"9/2/2022 6 p.m. MDT",7555,7481,7984,429
PSCO,"9/2/2022 7 p.m. MDT",7308,7050,7636,328
PSCO,"9/2/2022 8 p.m. MDT",6973,6585,7122,149
PSCO,"9/2/2022 9 p.m. MDT",6582,6352,6589,7
PSCO,"9/2/2022 10 p.m. MDT",5965,5914,6067,102
PSCO,"9/2/2022 11 p.m. MDT",5426,5476,5519,93
PSCO,"9/3/2022 12 a.m. MDT",5082,5072,5189,107
PSCO,"9/3/2022 1 a.m. MDT",4856,4595,4930,74
PSCO,"9/3/2022 2 a.m. MDT",4545,4315,4605,60
PSCO,"9/3/2022 3 a.m. MDT",4365,4191,4478,113
PSCO,"9/3/2022 4 a.m. MDT",4122,4077,4237,115
PSCO,"9/3/2022 5 a.m. MDT",4027,4008,4133,106
PSCO,"9/3/2022 6 a.m. MDT",3982,4093,4123,141
PSCO,"9/3/2022 7 a.m. MDT",4103,4108,4317,214
PSCO,"9/3/2022 8 a.m. MDT",4042,4142,4168,126
PSCO,"9/3/2022 9 a.m. MDT",4133,4275,4241,108
PSCO,"9/3/2022 10 a.m. MDT",4393,4494,4436,43
PSCO,"9/3/2022 11 a.m. MDT",4613,4749,4668,55
PSCO,"9/3/2022 12 p.m. MDT",4912,5063,4968,56
PSCO,"9/3/2022 1 p.m. MDT",5268,5418,5361,93
PSCO,"9/3/2022 2 p.m. MDT",5620,5832,5764,144
PSCO,"9/3/2022 3 p.m. MDT",5976,6153,6200,224
PSCO,"9/3/2022 4 p.m. MDT",6279,6473,6445,166
PSCO,"9/3/2022 5 p.m. MDT",6631,6782,6593,-38
PSCO,"9/3/2022 6 p.m. MDT",6842,6817,6809,-33
PSCO,"9/3/2022 7 p.m. MDT",6711,6633,6694,-17
PSCO,"9/3/2022 8 p.m. MDT",6397,6266,6274,-123
PSCO,"9/3/2022 9 p.m. MDT",6048,6104,6256,208
PSCO,"9/3/2022 10 p.m. MDT",5675,5708,5819,144
PSCO,"9/3/2022 11 p.m. MDT",5236,5247,5384,148
PSCO,"9/4/2022 12 a.m. MDT",4886,4878,5023,137
PSCO,"9/4/2022 1 a.m. MDT",4599,4503,4825,226
PSCO,"9/4/2022 2 a.m. MDT",4389,4232,4426,37
PSCO,"9/4/2022 3 a.m. MDT",4200,4050,4218,18
PSCO,"9/4/2022 4 a.m. MDT",4083,3908,4118,35
PSCO,"9/4/2022 5 a.m. MDT",4064,3796,4108,44
PSCO,"9/4/2022 6 a.m. MDT",4074,3817,4168,94
PSCO,"9/4/2022 7 a.m. MDT",3907,3872,4054,147
PSCO,"9/4/2022 8 a.m. MDT",3874,3911,4018,144
PSCO,"9/4/2022 9 a.m. MDT",4025,4062,4084,59
PSCO,"9/4/2022 10 a.m. MDT",4210,4256,4435,225
PSCO,"9/4/2022 11 a.m. MDT",4488,4577,4625,137
PSCO,"9/4/2022 12 p.m. MDT",4914,4925,5104,190
PSCO,"9/4/2022 1 p.m. MDT",5362,5356,5515,153
PSCO,"9/4/2022 2 p.m. MDT",5794,5820,5961,167
PSCO,"9/4/2022 3 p.m. MDT",6239,6290,6428,189
PSCO,"9/4/2022 4 p.m. MDT",6628,6687,6754,126
PSCO,"9/4/2022 5 p.m. MDT",7008,6928,7101,93
PSCO,"9/4/2022 6 p.m. MDT",7202,7092,7338,136
PSCO,"9/4/2022 7 p.m. MDT",7195,6979,7302,107
PSCO,"9/4/2022 8 p.m. MDT",6722,6673,6942,220
PSCO,"9/4/2022 9 p.m. MDT",6366,6393,6418,52
PSCO,"9/4/2022 10 p.m. MDT",5872,5870,5975,103
PSCO,"9/4/2022 11 p.m. MDT",5367,5486,5458,91
PSCO,"9/5/2022 12 a.m. MDT",4977,5010,5193,216
PSCO,"9/5/2022 1 a.m. MDT",4642,4515,4848,206
PSCO,"9/5/2022 2 a.m. MDT",4474,4242,4588,114
PSCO,"9/5/2022 3 a.m. MDT",4280,4071,4365,85
PSCO,"9/5/2022 4 a.m. MDT",4217,3920,4311,94
PSCO,"9/5/2022 5 a.m. MDT",4191,3927,4254,63
PSCO,"9/5/2022 6 a.m. MDT",4222,3951,4302,80
PSCO,"9/5/2022 7 a.m. MDT",4227,4059,4198,-29
PSCO,"9/5/2022 8 a.m. MDT",4102,4057,4034,-68
PSCO,"9/5/2022 9 a.m. MDT",4314,4238,4216,-98
PSCO,"9/5/2022 10 a.m. MDT",4610,4501,4553,-57
PSCO,"9/5/2022 11 a.m. MDT",4996,4844,4985,-11
PSCO,"9/5/2022 12 p.m. MDT",5435,5275,5497,62
PSCO,"9/5/2022 1 p.m. MDT",5902,5782,6033,131
