BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
PSCO,1/1/2023 12 a.m. MST,4564.0,4532.0,4779.0,215.0
PSCO,1/1/2023 1 a.m. MST,4414.0,4453.0,4606.0,192.0
PSCO,1/1/2023 2 a.m. MST,4312.0,4378.0,4555.0,243.0
PSCO,1/1/2023 3 a.m. MST,4214.0,4240.0,4634.0,420.0
PSCO,1/1/2023 4 a.m. MST,4140.0,4196.0,4548.0,408.0
PSCO,1/1/2023 5 a.m. MST,4136.0,4253.0,4567.0,431.0
PSCO,1/1/2023 6 a.m. MST,4209.0,4278.0,4470.0,261.0
PSCO,1/1/2023 7 a.m. MST,4379.0,4439.0,4534.0,155.0
PSCO,1/1/2023 8 a.m. MST,4398.0,4633.0,4661.0,263.0
PSCO,1/1/2023 9 a.m. MST,4489.0,4569.0,4667.0,178.0
PSCO,1/1/2023 10 a.m. MST,4546.0,4468.0,4675.0,129.0
PSCO,1/1/2023 11 a.m. MST,4561.0,4445.0,4682.0,121.0
PSCO,1/1/2023 12 p.m. MST,4524.0,4432.0,4644.0,120.0
PSCO,1/1/2023 1 p.m. MST,4552.0,4347.0,4596.0,44.0
PSCO,1/1/2023 2 p.m. MST,4572.0,4635.0,4558.0,-14.0
PSCO,1/1/2023 3 p.m. MST,4645.0,4729.0,4641.0,-4.0
PSCO,1/1/2023 4 p.m. MST,4778.0,4841.0,4814.0,36.0
PSCO,1/1/2023 5 p.m. MST,5090.0,5048.0,5327.0,237.0
PSCO,1/1/2023 6 p.m. MST,5388.0,5391.0,5698.0,310.0
PSCO,1/1/2023 7 p.m. MST,5358.0,5384.0,5654.0,296.0
PSCO,1/1/2023 8 p.m. MST,5207.0,5200.0,5383.0,176.0
PSCO,1/1/2023 9 p.m. MST,5085.0,5139.0,5262.0,177.0
PSCO,1/1/2023 10 p.m. MST,4893.0,4969.0,5148.0,255.0
PSCO,1/1/2023 11 p.m. MST,4638.0,4666.0,4919.0,281.0
PSCO,1/2/2023 12 a.m. MST,4501.0,4609.0,4712.0,211.0
PSCO,1/2/2023 1 a.m. MST,4345.0,4378.0,4614.0,269.0
PSCO,1/2/2023 2 a.m. MST,4242.0,4383.0,4479.0,237.0
PSCO,1/2/2023 3 a.m. MST,4203.0,4395.0,4417.0,214.0
PSCO,1/2/2023 4 a.m. MST,4253.0,4393.0,4443.0,190.0
PSCO,1/2/2023 5 a.m. MST,4335.0,4327.0,4494.0,159.0
PSCO,1/2/2023 6 a.m. MST,4516.0,4452.0,4686.0,170.0
PSCO,1/2/2023 7 a.m. MST,4737.0,4637.0,4898.0,161.0
PSCO,1/2/2023 8 a.m. MST,4865.0,4876.0,5094.0,229.0
PSCO,1/2/2023 9 a.m. MST,5041.0,4997.0,5182.0,141.0
PSCO,1/2/2023 10 a.m. MST,5181.0,5166.0,5296.0,115.0
PSCO,1/2/2023 11 a.m. MST,5283.0,5226.0,5457.0,174.0
PSCO,1/2/2023 12 p.m. MST,5349.0,5357.0,5421.0,72.0
PSCO,1/2/2023 1 p.m. MST,5425.0,5408.0,5372.0,-53.0
PSCO,1/2/2023 2 p.m. MST,5474.0,5392.0,5242.0,-232.0
PSCO,1/2/2023 3 p.m. MST,5456.0,5428.0,5195.0,-261.0
PSCO,1/2/2023 4 p.m. MST,5537.0,5517.0,5205.0,-332.0
PSCO,1/2/2023 5 p.m. MST,5751.0,5678.0,5422.0,-329.0
PSCO,1/2/2023 6 p.m. MST,6021.0,5898.0,5737.0,-284.0
PSCO,1/2/2023 7 p.m. MST,5905.0,5927.0,5734.0,-171.0
PSCO,1/2/2023 8 p.m. MST,5743.0,5746.0,5385.0,-358.0
PSCO,1/2/2023 9 p.m. MST,5589.0,5512.0,5414.0,-175.0
PSCO,1/2/2023 10 p.m. MST,5315.0,5212.0,5695.0,380.0
PSCO,1/2/2023 11 p.m. MST,4974.0,4925.0,5413.0,439.0
PSCO,1/3/2023 12 a.m. MST,4781.0,4873.0,5339.0,558.0
PSCO,1/3/2023 1 a.m. MST,4621.0,4657.0,5155.0,534.0
PSCO,1/3/2023 2 a.m. MST,4550.0,4640.0,4997.0,447.0
PSCO,1/3/2023 3 a.m. MST,4516.0,4555.0,4944.0,428.0
PSCO,1/3/2023 4 a.m. MST,4552.0,4656.0,4999.0,447.0
PSCO,1/3/2023 5 a.m. MST,4696.0,4777.0,5118.0,422.0
PSCO,1/3/2023 6 a.m. MST,4936.0,5015.0,5380.0,444.0
PSCO,1/3/2023 7 a.m. MST,5282.0,5411.0,5775.0,493.0
PSCO,1/3/2023 8 a.m. MST,5458.0,5580.0,6025.0,567.0
PSCO,1/3/2023 9 a.m. MST,5488.0,5573.0,6035.0,547.0
PSCO,1/3/2023 10 a.m. MST,5483.0,5428.0,6045.0,562.0
PSCO,1/3/2023 11 a.m. MST,5521.0,5307.0,5944.0,423.0
PSCO,1/3/2023 12 p.m. MST,5495.0,5377.0,5949.0,454.0
PSCO,1/3/2023 1 p.m. MST,5519.0,5407.0,5834.0,315.0
PSCO,1/3/2023 2 p.m. MST,5542.0,5416.0,5575.0,33.0
PSCO,1/3/2023 3 p.m. MST,5491.0,5327.0,5544.0,53.0
PSCO,1/3/2023 4 p.m. MST,5494.0,5453.0,5483.0,-11.0
PSCO,1/3/2023 5 p.m. MST,5775.0,5714.0,5719.0,-56.0
PSCO,1/3/2023 6 p.m. MST,6102.0,6096.0,6057.0,-45.0
PSCO,1/3/2023 7 p.m. MST,6068.0,6044.0,6087.0,19.0
PSCO,1/3/2023 8 p.m. MST,5860.0,5904.0,5939.0,79.0
PSCO,1/3/2023 9 p.m. MST,5655.0,5755.0,5976.0,321.0
PSCO,1/3/2023 10 p.m. MST,5456.0,5522.0,5884.0,428.0
PSCO,1/3/2023 11 p.m. MST,5109.0,5218.0,5466.0,357.0
PSCO,1/4/2023 12 a.m. MST,5006.0,4901.0,5381.0,375.0
PSCO,1/4/2023 1 a.m. MST,4841.0,4743.0,5261.0,420.0
PSCO,1/4/2023 2 a.m. MST,4831.0,4688.0,5322.0,491.0
PSCO,1/4/2023 3 a.m. MST,4757.0,4722.0,5266.0,509.0
PSCO,1/4/2023 4 a.m. MST,4741.0,4773.0,5338.0,597.0
PSCO,1/4/2023 5 a.m. MST,4857.0,4868.0,5492.0,635.0
