HourUTC;HourDK;MunicipalityNo;Branche;ConsumptionkWh
2020-12-31 23:00:00;2021-01-01 00:00:00;851;Privat;37842,849000
2021-01-01 00:00:00;2021-01-01 01:00:00;851;Privat;35086,772000
2021-01-01 01:00:00;2021-01-01 02:00:00;851;Privat;31777,762000
2021-01-01 02:00:00;2021-01-01 03:00:00;851;Privat;28423,659000
2021-01-01 03:00:00;2021-01-01 04:00:00;851;Privat;25675,926000
2021-01-01 04:00:00;2021-01-01 05:00:00;851;Privat;24283,909000
2021-01-01 05:00:00;2021-01-01 06:00:00;851;Privat;24173,438000
2021-01-01 06:00:00;2021-01-01 07:00:00;851;Privat;25145,988000
2021-01-01 07:00:00;2021-01-01 08:00:00;851;Privat;28191,446000
2021-01-01 08:00:00;2021-01-01 09:00:00;851;Privat;33937,011000
2021-01-01 09:00:00;2021-01-01 10:00:00;851;Privat;39805,006000
2021-01-01 10:00:00;2021-01-01 11:00:00;851;Privat;43751,421000
2021-01-01 11:00:00;2021-01-01 12:00:00;851;Privat;45974,811000
2021-01-01 12:00:00;2021-01-01 13:00:00;851;Privat;46161,645000
2021-01-01 13:00:00;2021-01-01 14:00:00;851;Privat;46769,633000
2021-01-01 14:00:00;2021-01-01 15:00:00;851;Privat;47892,892000
2021-01-01 15:00:00;2021-01-01 16:00:00;851;Privat;52694,091000
2021-01-01 16:00:00;2021-01-01 17:00:00;851;Privat;63114,250000
2021-01-01 17:00:00;2021-01-01 18:00:00;851;Privat;62557,738000
2021-01-01 18:00:00;2021-01-01 19:00:00;851;Privat;56122,303000
2021-01-01 19:00:00;2021-01-01 20:00:00;851;Privat;49744,458000
2021-01-01 20:00:00;2021-01-01 21:00:00;851;Privat;44932,715000
2021-01-01 21:00:00;2021-01-01 22:00:00;851;Privat;40240,183000
2021-01-01 22:00:00;2021-01-01 23:00:00;851;Privat;35107,164000
2021-01-01 23:00:00;2021-01-02 00:00:00;851;Privat;30306,452000
2021-01-02 00:00:00;2021-01-02 01:00:00;851;Privat;26940,285000
2021-01-02 01:00:00;2021-01-02 02:00:00;851;Privat;24958,917000
2021-01-02 02:00:00;2021-01-02 03:00:00;851;Privat;23966,065000
