Passed hours,Timestamp,Year,DSO Earning [DKK],Charging Box Supplier Earning [DKK]
8783.0,"Jan 1, 2021, 12:00:03 AM",2021.0,51799.92161834766,22615.84052113518
17543.0,"Jan 1, 2022, 12:00:03 AM",2022.0,52144.28111113952,21427.123769146398
26303.0,"Jan 1, 2023, 12:00:03 AM",2023.0,52147.12151406967,21557.475893018323
35063.0,"Jan 1, 2024, 12:00:03 AM",2024.0,52137.0545610328,21378.017203489697
43847.0,"Jan 1, 2025, 12:00:03 AM",2025.0,52424.7139266695,37442.541225966284
52607.0,"Jan 1, 2026, 12:00:03 AM",2026.0,53119.602746361255,119541.85474235212
61367.0,"Jan 1, 2027, 12:00:03 AM",2027.0,54250.24728180806,234907.7092454366
70127.0,"Jan 1, 2028, 12:00:03 AM",2028.0,55927.34723055223,411355.0641487494
78911.0,"Jan 1, 2029, 12:00:03 AM",2029.0,58185.15965261316,619901.0288723503
87671.0,"Jan 1, 2030, 12:00:03 AM",2030.0,60860.053026396665,898361.8752348542
96431.0,"Jan 1, 2031, 12:00:03 AM",2031.0,64313.310992719955,1260183.7613459406
105191.0,"Jan 1, 2032, 12:00:03 AM",2032.0,67875.02793577895,1674604.0170736453
113975.0,"Jan 1, 2033, 12:00:03 AM",2033.0,71489.69083600538,2012801.157340468
