Passed hours,Timestamp,Year,DSO Earning [DKK],Charging Box Supplier Earning [DKK]
8783.0,"Jan 1, 2021, 12:00:03 AM",2021.0,60287.11816708105,22727.804441819768
17543.0,"Jan 1, 2022, 12:00:03 AM",2022.0,60507.8760172639,21359.47996074948
26303.0,"Jan 1, 2023, 12:00:03 AM",2023.0,60572.375192513166,21652.13393622647
35063.0,"Jan 1, 2024, 12:00:03 AM",2024.0,60549.07959617025,21261.370595111526
43847.0,"Jan 1, 2025, 12:00:03 AM",2025.0,61342.443050233676,37575.683910516585
52607.0,"Jan 1, 2026, 12:00:03 AM",2026.0,64111.16007330216,119500.52130452068
61367.0,"Jan 1, 2027, 12:00:03 AM",2027.0,69081.2840409744,235439.4980351061
70127.0,"Jan 1, 2028, 12:00:03 AM",2028.0,76299.00573424652,411206.20354587876
78911.0,"Jan 1, 2029, 12:00:03 AM",2029.0,84963.34081895452,620551.3705473508
87671.0,"Jan 1, 2030, 12:00:03 AM",2030.0,95116.58541725064,898859.0347022044
96431.0,"Jan 1, 2031, 12:00:03 AM",2031.0,109917.74511658214,1261323.8626817595
105191.0,"Jan 1, 2032, 12:00:03 AM",2032.0,126535.98555937945,1674608.390033327
113975.0,"Jan 1, 2033, 12:00:03 AM",2033.0,140998.3381200307,2010249.7477829885
